,0
cell_lat,19
evt,16
cell_lon,15
days_since_last_fire,13
awnd_roll30_mean,6
fbfm40,6
doy_sin,6
tmin_roll30_mean,5
doy_cos,5
neighbor_fire_7d,4
neighbor_fire_30d,3
cell_fire_count_1yr,3
vpd_proxy,3
tmax_roll7_max,3
tmax_roll7_mean,3
prcp_roll30_mean,3
pdsi,2
prcp_roll7_mean,2
canopy_cover,2
month_sin,1
year,1
month_cos,1
tmin_roll7_mean,1
tmax_roll30_mean,1
tmin,0
tmax,0
prcp,0
awnd,0
dist_to_coast_km,0
is_inland,0
temp_range,0
hot_dry_windy,0
consecutive_dry_days,0
prcp_roll30_sum,0
awnd_roll7_mean,0
